----------------------------------------------------------
-------------------Start of evolution---------------------
----------------------------------------------------------
Description:
    Function: parabaloid
    Dim size: 2
    Obj Size: 1
Variables:
    Mutation: mutGaussian
    Selection: selTournament
    Mean: 0
    Std Dev: 0.5
    Indpb Mutation: 0.05
    Population Size: 200
    Generations: 400
    CXPB, MUTPB: 0.5, 0.2
    Selection tournsize: 3
[[ 0.07292708  0.71194561]],(-0.51218491501795549,)
[[ 0.7881851   0.83733317]],(-1.3223625902939413,)
[[ 0.14980308  0.73706826]],(-0.56571057841813954,)
[[ 0.19429862  0.03074515]],(-0.038697217618447077,)
[[ 0.89926129  0.03521225]],(-0.80991077807376322,)
[[ 0.27423184  0.25086344]],(-0.13813557114805772,)
[[ 0.6361447   0.22609085]],(-0.45579715146043287,)
[[ 0.26622015  0.65598947]],(-0.50119536030535605,)
[[ 0.34954109  0.23410474]],(-0.17698400532197364,)
[[ 0.52515396  0.67746767]],(-0.73474912562416828,)
[[ 0.37629835  0.63084478]],(-0.53956558103373753,)
[[ 0.04101832  0.24169406]],(-0.060098519870554305,)
[[ 0.56155409  0.52079245]],(-0.58656776792698362,)
[[ 0.25277001  0.65847143]],(-0.49747729922947082,)
[[ 0.27806638  0.92400488]],(-0.93110592197493791,)
[[ 0.7039464   0.18142322]],(-0.52845492353880408,)
[[ 0.66689405  0.9211632 ]],(-1.2932893164389319,)
[[ 0.78061728  0.00642282]],(-0.6094045912437257,)
[[ 0.43541998  0.19017038]],(-0.22575533218806609,)
[[ 0.89289092  0.36321886]],(-0.92918213883913303,)
[[ 0.43715588  0.48302408]],(-0.42441752719738601,)
[[ 0.59735563  0.48840029]],(-0.5953685937477311,)
[[ 0.6444167   0.27136953]],(-0.48891430737401453,)
[[ 0.58874383  0.67382436]],(-0.80065856307462457,)
[[ 0.54222145  0.40545457]],(-0.45839750348221692,)
[[ 0.09526581  0.13493033]],(-0.02728176947714914,)
[[ 0.41507991  0.57889709]],(-0.50741317384269258,)
[[ 0.86281807  0.24306228]],(-0.80353430243231305,)
[[ 0.45751698  0.87024618]],(-0.96665020297010162,)
[[ 0.56406724  0.7023294 ]],(-0.81143844365819096,)
[[ 0.43637804  0.12318956]],(-0.20560145777290276,)
[[ 0.52046829  0.31250168]],(-0.36854454190343616,)
[[ 0.30518088  0.98677498]],(-1.0668602334295751,)
-- Generation 1 --
[[ 0.52628758  0.16117594]],(-0.30295630342745861,)
[[ 0.89926129  0.30700097]],(-0.90292047193925862,)
[[ 0.47239461  0.30700097]],(-0.31740626776514747,)
[[ 0.32115846  0.02263275]],(-0.1036550006008405,)
[[ 0.04707386  0.02263275]],(-0.0027281895500630422,)
[[ 0.71426329  0.03467442]],(-0.5113743649687702,)
[[ 0.08622013  0.0033727 ]],(-0.0074452862198382099,)
[[ 0.07940994  0.1458412 ]],(-0.027575594770054973,)
[[ 0.0087047  0.1458412]],(-0.021345427867916992,)
